ID;number_of_messages;mean_time
421;1;0.00
121;1;0.00
441;1;0.00
007;1;0.00
247;1;0.00
108;2;5.00
3a8;7;2.29
307;1;0.00
008;64;0.27
181;52;0.35
025;78;0.22
368;7;2.29
388;7;2.29
005;4;4.00
0a0;2;4.50
202;62;0.27
004;62;0.29
109;7;2.29
224;61;0.28
207;14;1.14
201;62;0.29
328;7;2.29
182;53;0.34
308;7;2.29
325;14;1.14
128;7;2.29
309;4;0.25
430;4;4.00
348;1;0.00
32a;3;5.33
227;14;1.07
305;14;1.14
461;1;0.00
345;6;2.17
30a;3;5.00
046;7;2.29
204;7;2.29
3c8;1;0.00
