ID;number_of_messages;mean_time
441;1;0.00
007;1;0.00
247;1;0.00
108;1;0.00
3a8;4;1813.25
307;1;0.00
008;34;248.41
181;29;279.14
025;42;201.62
368;4;1812.50
388;4;1814.25
005;3;277.00
0a0;1;0.00
202;33;262.21
004;33;262.67
109;4;1798.75
224;33;262.48
207;7;992.14
201;33;263.15
328;4;1829.25
182;30;293.53
308;4;1808.75
325;7;991.00
128;4;1805.50
430;2;2524.00
348;1;0.00
32a;1;0.00
227;7;988.00
305;7;992.29
461;1;0.00
345;3;1590.00
30a;1;0.00
046;4;1749.50
204;4;1740.50
3c8;1;0.00
