ID;number_of_messages;mean_time
441;1;0.00
007;1;0.00
247;1;0.00
108;1;0.00
3a8;4;2429.00
307;1;0.00
008;34;257.24
181;29;290.71
025;42;206.56
368;4;2421.33
388;4;2430.00
005;3;419.00
0a0;1;0.00
202;33;272.38
004;33;272.38
109;4;2409.00
224;33;272.34
207;7;1131.50
201;33;273.16
328;4;2432.33
182;30;303.83
308;4;2416.67
325;7;1124.00
128;4;2405.33
430;2;5157.00
348;1;0.00
32a;1;0.00
227;7;1126.33
305;7;1128.50
461;1;0.00
345;3;2359.50
30a;1;0.00
046;4;2301.67
204;4;2284.00
3c8;1;0.00
